District,Village
Anugul  ,Abhimanpur
Anugul  ,Achutapur
Anugul  ,Adaitaprasad
Anugul  ,Adeswar
Anugul  ,Aida
Anugul  ,Ajatipur
Anugul  ,Akharakata
Anugul  ,Alekhapur
Anugul  ,Allhadnagar
Anugul  ,Allori
Anugul  ,Alori
Anugul  ,Amantapur
Anugul  ,Amantapur
Anugul  ,Amasama
Anugul  ,Ambadarh
Anugul  ,Ambakhol
Anugul  ,Ambamunda
Anugul  ,Ambamunda
Anugul  ,Ambanali
Anugul  ,Ambapal
Anugul  ,Ambapal
Anugul  ,Ambapal
Anugul  ,Ambapal jungle
Anugul  ,Ambasaramunda
Anugul  ,Amritadeipur
Anugul  ,Anadipur
Anugul  ,Anandamunda
Anugul  ,Anandapur
Anugul  ,Anandapur
Anugul  ,Anantabereni
Anugul  ,Anantagadia
Anugul  ,Anantapali
Anugul  ,Anatira
Anugul  ,Andhari
Anugul  ,Andharikata
Anugul  ,Angapada
Anugul  ,Angarbandha
Anugul  ,Ankula(Part)
Anugul  ,Ankurabahal
Anugul  ,Anlabereni
Anugul  ,Antarasinga
Anugul  ,Antulia
Anugul  ,Antulia Forest Beat
Anugul  ,Anugul 
Anugul  ,Anugul  
Anugul  ,Apartipur
Anugul  ,Ara
Anugul  ,Aradiha
Anugul  ,Arahat
Anugul  ,Arakhadihi(Arakhadahi)
Anugul  ,Arakhakuda
Anugul  ,Arakhapal
Anugul  ,Aramapur
Anugul  ,Arjunadarha
Anugul  ,Arjunanali (Part)
Anugul  ,Arkili
Anugul  ,Asanabahali
Anugul  ,Asanabahali
Anugul  ,Asanbahal
Anugul  ,Ashrubahal
Anugul  ,Atabira
Anugul  ,Atanaka
Anugul  ,Athmallik 
Anugul  ,Aunli irrigation project site for kanloi R.F.
Anugul  ,Babartipali
Anugul  ,Bada Gunduri
Anugul  ,Bada hinsara
Anugul  ,Badabagdari
Anugul  ,Badabahal
Anugul  ,Badabahala
Anugul  ,Badabalipasi
Anugul  ,Badabandha
Anugul  ,Badabandhabahal
Anugul  ,Badabar
Anugul  ,Badaberena
Anugul  ,Badaberena
Anugul  ,Badaberena
Anugul  ,Badabirabarpur
Anugul  ,Badadadar
Anugul  ,Badadandasahi
Anugul  ,Badadangiani
Anugul  ,Badagunda
Anugul  ,Badahar
Anugul  ,Badahinso
Anugul  ,Badahira
Anugul  ,Badahulla
Anugul  ,Badajharan
Anugul  ,Badajharcolony
Anugul  ,Badakanjeni
Anugul  ,Badakantakul
Anugul  ,Badakathia
Anugul  ,Badakera
Anugul  ,Badakerangjungle
Anugul  ,Badakerjang
Anugul  ,Badakhali
Anugul  ,Badakheta
Anugul  ,Badamahitala
Anugul  ,Badamula
Anugul  ,Badapasi
Anugul  ,Badarohila
Anugul  ,Badasada
Anugul  ,Badataila
Anugul  ,Badatribida
Anugul  ,Badibahal
Anugul  ,Badibahal
Anugul  ,Badibahal
Anugul  ,Badibahal
Anugul  ,Badibahal
Anugul  ,Badirinali
Anugul  ,Bagachar
Anugul  ,Bagadari
Anugul  ,Bagadia
Anugul  ,Baghabaspur
Anugul  ,Baghamunda
Anugul  ,Baghamunda(F.Beat)
Anugul  ,Baghapal
Anugul  ,Baghuabol
Anugul  ,Baghuabol
Anugul  ,Baghuakata
Anugul  ,Baghuamunda
Anugul  ,Baghuanali
Anugul  ,Baghuapat
Anugul  ,Bahadakani
Anugul  ,Bahalabeda
Anugul  ,Bahali
Anugul  ,Bahalsahi
Anugul  ,Bahialijungle
Anugul  ,Baidehipur
Anugul  ,Baideswar
Anugul  ,Baidyanathapur
Anugul  ,Bainda
Anugul  ,Bairagipali
Anugul  ,Baisana
Anugul  ,Baiza
Anugul  ,Bajapur
Anugul  ,Bajrakot
Anugul  ,Bakala
Anugul  ,Bakata
Anugul  ,Balanda
Anugul  ,Balanga
Anugul  ,Balangi
Anugul  ,Balaramapadar
Anugul  ,Balaramprasad(Part)
Anugul  ,Balaramprasadpatna(Part)
Anugul  ,Balarampur
Anugul  ,Balarampur
Anugul  ,Balarampur
Anugul  ,Balasinga
Anugul  ,Balbhadrapur
Anugul  ,Baleswar
Anugul  ,Balhar
Anugul  ,Baliamba
Anugul  ,Baliani
Anugul  ,Balibahal
Anugul  ,Balichandrapur
Anugul  ,Balijereng
Anugul  ,Balijerenga
Anugul  ,Balijharan
Anugul  ,Balijodi
Anugul  ,Balikhaman
Anugul  ,Balikudiajungle
Anugul  ,Balinali
Anugul  ,Balipasi
Anugul  ,Balipasi
Anugul  ,Balipasi
Anugul  ,Balipata
Anugul  ,Balipata
Anugul  ,Balipata
Anugul  ,Balipatpur
Anugul  ,Baliposi
Anugul  ,Ballavpur
Anugul  ,Baluaghara
Anugul  ,Baluakata
Anugul  ,Balugan
Anugul  ,Balugan(Rayati)
Anugul  ,Bamanali
Anugul  ,Bamur
Anugul  ,Banabaspur
Anugul  ,Banabaspur
Anugul  ,Banamalipur
Anugul  ,Banamalipur
Anugul  ,Banamira
